,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-8.13744389359486,5.496168040474077,-0.30244641953534435,0.17014886702704526,17.56962263317434
1,-19.444444444444443,-8.13744389359486,2.7684050256976227,-2.2824787644100546,-4.087634883001168,14.800908110817677
2,-13.88888888888889,-8.13744389359486,0.028390196971336726,-3.9004099122306393,-13.176697372168078,12.038742797296177
3,-8.333333333333336,-8.13744389359486,-2.6503467217891434,-5.800804265420685,,9.291966012582698
4,-2.7777777777777786,-8.13744389359486,-5.035894087836073,-7.105810372039142,,6.575751034946728
5,2.7777777777777786,-8.13744389359486,-6.851653422106771,-8.210264468366885,,3.9040088274382634
6,8.333333333333329,-8.13744389359486,-7.843091040167161,-8.324718589186487,,1.3284574224334758
7,13.888888888888886,-8.13744389359486,-8.473884092783342,-8.747121170418191,,-1.126315625772298
8,19.444444444444443,-8.13744389359486,-8.37984980023551,-8.755171166373184,,-3.2883608791336005
9,25.0,-8.13744389359486,-8.31223585231051,-8.587664473648482,,-5.04256324988686
