,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-15.208661291971532,-0.2834917457412683,-6.571704078368956,-5.473377791061054,11.772213500421993
1,-19.444444444444443,-15.208661291971532,-3.031817890293827,-6.783678302806473,-10.19508518775723,9.001214881745053
2,-13.88888888888889,-15.208661291971532,-5.816906276800879,-7.348880628082545,-26.055518224113207,6.236573246987076
3,-8.333333333333336,-15.208661291971532,-8.45987416704285,-9.072540970787546,,3.4805560906694435
4,-2.7777777777777786,-15.208661291971532,-10.894443316505262,-11.05901981541512,,0.747298291428047
5,2.7777777777777786,-15.208661291971532,-12.796935538969121,-12.87545688101931,,-1.9409321109442004
6,8.333333333333329,-15.208661291971532,-14.124255798152126,-14.296178121432437,,-4.568822740486305
7,13.888888888888886,-15.208661291971532,-14.692725793187007,-14.930263173346905,,-7.068587575397224
8,19.444444444444443,-15.208661291971532,-14.808269831221121,-15.105396922907664,,-9.354373604229767
9,25.0,-15.208661291971532,-14.790182952668424,-15.145753151022017,,-11.362132642177745
