,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-5.474617522848538,5.511567612057789,-1.874175442510089,-0.07054541437861192,17.552797736404987
1,-19.444444444444443,-5.474617522848538,2.8282105921186758,-2.3376638762686843,-5.32170586071933,14.789348258503122
2,-13.88888888888889,-5.474617522848538,0.2132642786067153,-3.201155245986873,,12.03946246700517
3,-8.333333333333336,-5.474617522848538,-2.0234359003562647,-3.4856082345077226,,9.314937621567873
4,-2.7777777777777786,-5.474617522848538,-3.7856649230333344,-4.18297269135603,,6.636176814499352
5,2.7777777777777786,-5.474617522848538,-4.728134296166853,-4.795288126513222,,4.035560474112685
6,8.333333333333329,-5.474617522848538,-5.259981224598508,-5.27514791633403,,1.579077921387992
7,13.888888888888886,-5.474617522848538,-5.3923543885730645,-5.406786277542114,,-0.6486848875674203
8,19.444444444444443,-5.474617522848538,-5.385094551057268,-5.389115599601922,,-2.5239299576800573
9,25.0,-5.474617522848538,-5.378101208520132,-5.395743954395239,,-4.023818515452382
