,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-18.00441378273678,4.600202339710394,0.9773159076638911,0.773850520017182,16.627472220656724
1,-19.444444444444443,-18.00441378273678,1.7995315835143186,-1.7972024728433065,-2.0885796100409078,13.85098469188598
2,-13.88888888888889,-18.00441378273678,-0.9669947137393885,-4.575987232795899,-5.080808039622652,11.075340977612967
3,-8.333333333333336,-18.00441378273678,-3.7452639195885467,-7.294264320284963,-8.226731548024087,8.301878019446443
4,-2.7777777777777786,-18.00441378273678,-6.516915503080601,-10.037147256245763,-11.85797054778957,5.532528587624367
5,2.7777777777777786,-18.00441378273678,-9.235941855474337,-12.658816182416569,-16.770046577373805,2.7693137058497315
6,8.333333333333329,-18.00441378273678,-11.906799448184213,-14.864865186682934,,0.021331854975784083
7,13.888888888888886,-18.00441378273678,-14.301902396326032,-16.404305480548793,,-2.7014568347942474
8,19.444444444444443,-18.00441378273678,-16.24397620407351,-17.470526162422072,,-5.38359829376145
9,25.0,-18.00441378273678,-17.273987621673594,-17.66822799629892,,-7.9705770437347825
