,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-3.0,-2.7873115070747936,9.018851864248962,-0.48863033333028655
1,-1.5555555555555556,-2.7873115070747936,8.291470934078385,-0.6810486549600879
2,-0.11111111111111116,-2.7873115070747936,7.596139307567897,-0.8529194663805106
3,1.333333333333333,-2.7873115070747936,6.885648835118508,-0.9611543109785099
4,2.7777777777777777,-2.7873115070747936,6.185248691233943,-1.0576695302038424
5,4.222222222222222,-2.7873115070747936,5.45576736153677,-1.1686943274284518
6,5.666666666666666,-2.7873115070747936,4.747412853953412,-1.2785829505633706
7,7.111111111111111,-2.7873115070747936,4.062650054206436,-1.4173329160549035
8,8.555555555555555,-2.7873115070747936,3.3775992537858017,-1.4903762920159864
9,10.0,-2.7873115070747936,2.6917032647131607,-1.6655981411796157
