,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-3.0,-1.1703762919935872,7.544163655109239,-0.08489705376868609
1,-1.5555555555555556,-1.1703762919935872,6.837867023246627,-0.2245201046940384
2,-0.11111111111111116,-1.1703762919935872,6.151953522960847,-0.3174058324965017
3,1.333333333333333,-1.1703762919935872,5.445219239121679,-0.451113142459652
4,2.7777777777777777,-1.1703762919935872,4.755185466499264,-0.5290615472581915
5,4.222222222222222,-1.1703762919935872,4.125637292491142,-0.5519894814748243
6,5.666666666666666,-1.1703762919935872,3.445312958532554,-0.6126817731672572
7,7.111111111111111,-1.1703762919935872,2.826121017459477,-0.6570201961097875
8,8.555555555555555,-1.1703762919935872,2.231433611959389,-0.6658352080929931
9,10.0,-1.1703762919935872,1.722089730427985,-0.7673241110337438
