,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-2.4378015770157475,5.109653154999171,-1.77475336079937,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
1,-1.5555555555555556,-2.4378015770157475,4.439355185378265,-1.836843293689923,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
2,-0.11111111111111116,-2.4378015770157475,3.750351777302911,-1.906426167243145,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
3,1.333333333333333,-2.4378015770157475,3.0767405872730897,-1.9570010869022507,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
4,2.7777777777777777,-2.4378015770157475,2.4004641396023505,-2.0097693458949304,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
5,4.222222222222222,-2.4378015770157475,1.796469942942172,-2.051499538836784,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
6,5.666666666666666,-2.4378015770157475,1.2193854620071924,-2.0804247389107,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
7,7.111111111111111,-2.4378015770157475,0.6674067523864278,-2.1106056125678903,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
8,8.555555555555555,-2.4378015770157475,0.15004514486194717,-2.142786551080296,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
9,10.0,-2.4378015770157475,-0.3141755574563543,-2.170822714141603,0.0,0.0,0.0,0.0,-1.7527230662454474,-1.7527230662454474
