,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-30.0,-14.6648214241246,2.36387089539553,-5.957153431427287
1,-27.142857142857142,-14.6648214241246,0.9195223011478959,-5.585835487716712
2,-24.285714285714285,-14.6648214241246,-0.5524876334529896,-5.200277224857958
3,-21.42857142857143,-14.6648214241246,-1.8762328289897297,-5.015160492690386
4,-18.57142857142857,-14.6648214241246,-3.344052623917466,-5.14990508766283
5,-15.714285714285714,-14.6648214241246,-4.734060203220919,-5.681359726375289
6,-12.857142857142858,-14.6648214241246,-6.197494438161777,-6.574472876121302
7,-10.0,-14.6648214241246,-7.569887732179286,-7.655857328011938
8,-7.142857142857142,-14.6648214241246,-8.876700258736843,-8.978919021620142
9,-4.285714285714285,-14.6648214241246,-10.104946140394098,-10.23886788620536
10,-1.428571428571427,-14.6648214241246,-11.309620905574393,-11.387040063918288
11,1.4285714285714306,-14.6648214241246,-12.317216517956295,-12.332814162618394
12,4.285714285714285,-14.6648214241246,-13.238031041504307,-13.250678135929979
13,7.142857142857146,-14.6648214241246,-13.803107221796068,-13.893698471761413
14,10.0,-14.6648214241246,-14.35229625842129,-14.376499113320275
