,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-25.0,-5.503177776287198,5.517097346879364,1.9511290778981485,-0.09906380340603568,17.551835808890264,6.622250708705351,-1.7527230662454465,-1.7527230662454465
1,-19.444444444444443,-5.503177776287198,2.8131530708319463,-0.5588325047832278,-5.351155393159646,14.788587640692741,4.021108206705863,-1.7527230662454465,-1.7527230662454465
2,-13.88888888888889,-5.503177776287198,0.2039598491609955,-2.56923500862761,,12.039215878162416,1.5707506339630237,-1.7527230662454465,-1.7527230662454465
3,-8.333333333333336,-5.503177776287198,-2.068881596267263,-3.210421670369036,,9.315401778266084,-0.6407517811952763,-1.7527230662454465,-1.7527230662454465
4,-2.7777777777777786,-5.503177776287198,-3.7991377057931652,-4.101714212805599,,6.634994752618466,-2.5390867530116203,-1.7527230662454465,-1.7527230662454465
5,2.7777777777777786,-5.503177776287198,-4.881889114506316,-4.954252985426062,,4.03479929016564,-4.029349681122416,-1.7527230662454465,-1.7527230662454465
6,8.333333333333329,-5.503177776287198,-5.29668064967178,-5.305786600124989,,1.5761454412331926,-5.080363289536971,-1.7527230662454465,-1.7527230662454465
7,13.888888888888886,-5.503177776287198,-5.427036340952688,-5.42683646483754,,-0.6339498536182255,-5.692143648428392,-1.7527230662454465,-1.7527230662454465
8,19.444444444444443,-5.503177776287198,-5.546176322495605,-5.549244450540859,,-2.531250670591069,-6.113850155017816,-1.7527230662454465,-1.7527230662454465
9,25.0,-5.503177776287198,-5.572321197811275,-5.570229794123922,,-3.970285542783141,-6.281827342710774,-1.7527230662454465,-1.7527230662454465
