,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-25.0,-8.5876309131739,5.479183236168139,1.8299015958679556,0.40656798980635683,17.547741080905524,6.538444154729881,-0.9341489457636123,-0.9341489457636123
1,-19.444444444444443,-8.5876309131739,2.738404200494098,-0.9208947538273473,-4.299201547482875,14.77875985504027,3.870361111936256,-0.9341489457636123,-0.9341489457636123
2,-13.88888888888889,-8.5876309131739,-0.008171224069259762,-3.2413035913957704,-20.73683070795167,12.017155865614818,1.287864309473493,-0.9341489457636123,-0.9341489457636123
3,-8.333333333333336,-8.5876309131739,-2.68354150240683,-4.280447365156294,,9.271653635462908,-1.122692773761297,-0.9341489457636123,-0.9341489457636123
4,-2.7777777777777786,-8.5876309131739,-5.1016308813728015,-5.646632460515912,,6.557229180338195,-3.252473651773159,-0.9341489457636123,-0.9341489457636123
5,2.7777777777777786,-8.5876309131739,-6.9871040762654815,-7.163520535523653,,3.890753991836055,-5.066481675097762,-0.9341489457636123,-0.9341489457636123
6,8.333333333333329,-8.5876309131739,-8.07533673021726,-8.110867771071648,,1.3109660937015863,-6.486968145930872,-0.9341489457636123,-0.9341489457636123
7,13.888888888888886,-8.5876309131739,-8.430677763267402,-8.456451273798208,,-1.1081640361859233,-7.450652178657036,-0.9341489457636123,-0.9341489457636123
8,19.444444444444443,-8.5876309131739,-8.511515908539442,-8.520078379851727,,-3.2775612188607517,-8.059491161584987,-0.9341489457636123,-0.9341489457636123
9,25.0,-8.5876309131739,-8.7645792648663,-8.77414140921377,,-5.162454777587907,-8.567518998092446,-0.9341489457636123,-0.9341489457636123
