,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-25.0,-2.001551226761679,5.570189986329734,2.2378822393856974,-0.645604683774117,17.577983650302286,6.905337978612824,-1.139458649876471,-1.1394586498764716
1,-19.444444444444443,-2.001551226761679,3.010962235162158,0.19372122014920728,-7.283477763837207,14.835900166022888,4.527064067354527,-1.139458649876471,-1.1394586498764716
2,-13.88888888888889,-2.001551226761679,0.7486420074961874,-0.85201256711339,,12.12518874262516,2.4203457635206025,-1.139458649876471,-1.1394586498764716
3,-8.333333333333336,-2.001551226761679,-0.7458885211662827,-1.1338068243888224,,9.472251018345384,0.6890267965628304,-1.139458649876471,-1.1394586498764716
4,-2.7777777777777786,-2.001551226761679,-1.5166040627086872,-1.5818939289710987,,6.919411901608205,-0.622212110938657,-1.139458649876471,-1.1394586498764716
5,2.7777777777777786,-2.001551226761679,-1.7588819361711086,-1.767969675679192,,4.5408267872938755,-1.506197380365306,-1.139458649876471,-1.1394586498764716
6,8.333333333333329,-2.001551226761679,-1.9456213872370896,-1.9409540126170877,,2.421433770387311,-2.086117023380404,-1.139458649876471,-1.1394586498764716
7,13.888888888888886,-2.001551226761679,-2.0114508295841547,-2.0141976591609727,,0.6815178580723004,-2.4034837627171015,-1.139458649876471,-1.1394586498764716
8,19.444444444444443,-2.001551226761679,-1.9562105249464856,-1.959240375035254,,-0.5828657438621803,-2.5136134195940913,-1.139458649876471,-1.1394586498764716
9,25.0,-2.001551226761679,-2.011557494458157,-2.013861650130861,,-1.523733030794119,-2.68778094752121,-1.139458649876471,-1.1394586498764716
