,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-25.0,-15.561487558729272,5.508080468013735,1.788460067430699,1.6462750777114235,17.53975360365889,6.436554053884693,-0.2928267308495069,-0.29282673084950744
1,-19.444444444444443,-15.561487558729272,2.7348690965217486,-0.9834316806553209,-1.284852954410999,14.763628471619214,3.6800341111440993,-0.2928267308495069,-0.29282673084950744
2,-13.88888888888889,-15.561487558729272,-0.06014048614216425,-3.4156035962757505,-4.343777110696445,11.989226612232407,0.9453845980964287,-0.2928267308495069,-0.29282673084950744
3,-8.333333333333336,-15.561487558729272,-2.822245556013883,-4.656962090976535,-7.718413501159267,9.21747776956117,-1.756339877093318,-0.2928267308495069,-0.29282673084950744
4,-2.7777777777777786,-15.561487558729272,-5.590111323014744,-6.426701816209949,-11.743146915307175,6.451478651900706,-4.3889768687810085,-0.2928267308495069,-0.29282673084950744
5,2.7777777777777786,-15.561487558729272,-8.280741854913643,-8.696293049138943,-20.10203642329938,3.695607894708619,-6.908095676216327,-0.2928267308495069,-0.29282673084950744
6,8.333333333333329,-15.561487558729272,-10.804868636382652,-10.960835731442389,,0.9609249316710093,-9.214700577535366,-0.2928267308495069,-0.29282673084950744
7,13.888888888888886,-15.561487558729272,-12.899156716652358,-12.957253616296303,,-1.7394914812784978,-11.247443918983071,-0.2928267308495069,-0.29282673084950744
8,19.444444444444443,-15.561487558729272,-14.341421395121753,-14.363759345303205,,-4.377337759732772,-12.91133271589722,-0.2928267308495069,-0.29282673084950744
9,25.0,-15.561487558729272,-15.055330827541727,-15.070618985316402,,-6.911697680527183,-14.1928102705218,-0.2928267308495069,-0.29282673084950744
