,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-7.447139361980719,-2.06163264948763,-3.128719947789274,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
1,-1.5555555555555556,-7.447139361980719,-2.7048076129250975,-3.621415299717385,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
2,-0.11111111111111116,-7.447139361980719,-3.3330042623159315,-4.093901319434386,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
3,1.333333333333333,-7.447139361980719,-3.939970504881688,-4.5754965355702435,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
4,2.7777777777777777,-7.447139361980719,-4.492682216799223,-5.037711525000521,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
5,4.222222222222222,-7.447139361980719,-5.003253523906395,-5.459475886238275,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
6,5.666666666666666,-7.447139361980719,-5.464013996269781,-5.8182250592010964,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
7,7.111111111111111,-7.447139361980719,-5.862505677559478,-6.1385190087662505,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
8,8.555555555555555,-7.447139361980719,-6.2191627906319,-6.411732655697393,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
9,10.0,-7.447139361980719,-6.507249966915838,-6.640959248748281,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
