,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-1.1388533994374195,-0.0016341424122557357,-0.6298526851808474,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
1,-1.5555555555555556,-1.1388533994374195,-0.26079268014123547,-0.7064077414920704,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
2,-0.11111111111111116,-1.1388533994374195,-0.46557892108231425,-0.7903585371758203,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
3,1.333333333333333,-1.1388533994374195,-0.6435617071456684,-0.8568115300877344,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
4,2.7777777777777777,-1.1388533994374195,-0.7756133199280847,-0.9210842578820235,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
5,4.222222222222222,-1.1388533994374195,-0.8801708606837746,-0.9734372253204455,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
6,5.666666666666666,-1.1388533994374195,-0.947562852921558,-1.0146978899370565,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
7,7.111111111111111,-1.1388533994374195,-0.9976465172591249,-1.0349514971172409,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
8,8.555555555555555,-1.1388533994374195,-1.041442351704804,-1.0594396526471965,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
9,10.0,-1.1388533994374195,-1.0646828533739117,-1.079713733861149,0.0,0.0,0.0,0.0,-0.6902897676853591,-0.6907704786807151
