,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,17.72284392119239,27.2836764627047,21.95120073261965
1,-20.0,17.72284392119239,24.56335153463346,20.052664008512878
2,-15.0,17.72284392119239,22.755396968106755,18.69026710159129
3,-10.0,17.72284392119239,19.91172528060236,18.166329265782636
4,-5.0,17.72284392119239,18.781344537159338,17.93709216685155
5,0.0,17.72284392119239,18.1230011593309,17.777328683388504
6,5.0,17.72284392119239,17.903417338616173,17.806100837571815
7,10.0,17.72284392119239,17.867089035213017,17.772192416713402
8,15.0,17.72284392119239,17.823197749171317,17.779085988798382
9,20.0,17.72284392119239,17.816219369243292,17.846012842585925
