,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-14.044633640231066,12.747797039916053,1.6685990177470726
1,-20.0,-14.044633640231066,10.258222541672321,-0.7374801239706559
2,-15.0,-14.044633640231066,7.764185860537307,-3.024889175418674
3,-10.0,-14.044633640231066,5.264572729724763,-5.033348884252032
4,-5.0,-14.044633640231066,2.745442952427344,-6.718176278696552
5,0.0,-14.044633640231066,0.24974384510961273,-7.6740360522687965
6,5.0,-14.044633640231066,-2.2206171426350623,-8.28854785817143
7,10.0,-14.044633640231066,-4.688378106905026,-9.389983864625114
8,15.0,-14.044633640231066,-7.058865040717391,-10.651666945490994
9,20.0,-14.044633640231066,-9.188087687791558,-11.692842651580955
