,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-6.0,-7.716269481361629,-3.804777972111454,-5.604311020913743,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
1,-0.5,-7.716269481361629,-5.786187043486861,-6.811225357588557,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
2,5.0,-7.716269481361629,-6.9756676629361625,-7.392681412362866,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
3,10.5,-7.716269481361629,-7.481454318267419,-7.627599394662968,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
4,16.0,-7.716269481361629,-7.64836114488917,-7.7017046421564475,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
