,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-12.435168388855523,17.59110564560848,15.244854325267882
1,-20.0,-12.435168388855523,15.076170642167767,13.104561286157416
2,-15.0,-12.435168388855523,12.606385540578602,10.099533691497726
3,-10.0,-12.435168388855523,10.092162560283267,6.761614087855587
4,-5.0,-12.435168388855523,7.593529632325526,3.3703198085192634
5,0.0,-12.435168388855523,5.110066084502842,0.08402809981687158
6,5.0,-12.435168388855523,2.591459296071528,-1.7471030871823765
7,10.0,-12.435168388855523,0.1119382516375609,-3.6245973292803413
8,15.0,-12.435168388855523,-2.363801916015169,-5.634690824412311
9,20.0,-12.435168388855523,-4.830559136960243,-7.263965450494227
