,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-19.287905911847588,14.754271087424048,12.661799784922936
1,-20.0,-19.287905911847588,12.240286100985902,9.614140976686004
2,-15.0,-19.287905911847588,9.743778977131228,6.509551706487332
3,-10.0,-19.287905911847588,7.2498386442359966,3.258665467457749
4,-5.0,-19.287905911847588,4.732978667669989,0.07251586004030793
5,0.0,-19.287905911847588,2.220812368593043,-1.728306362895817
6,5.0,-19.287905911847588,-0.27407867060021507,-3.597941491172663
7,10.0,-19.287905911847588,-2.7468765977567178,-5.74095549249149
8,15.0,-19.287905911847588,-5.239616370406691,-8.052278465006303
9,20.0,-19.287905911847588,-7.744049087051035,-10.416709998171072
