,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-10.260875198721482,17.633541495924486,15.195352116482535
1,-20.0,-10.260875198721482,15.126831254313824,12.979166413365903
2,-15.0,-10.260875198721482,12.60274887026371,10.11438847841756
3,-10.0,-10.260875198721482,10.155821560148368,6.823177245934557
4,-5.0,-10.260875198721482,7.649508988492996,3.3685025945804092
5,0.0,-10.260875198721482,5.165919125702581,0.07914622718576844
6,5.0,-10.260875198721482,2.6847960745968114,-1.7541717406117114
7,10.0,-10.260875198721482,0.24287274413512178,-3.700876242126215
8,15.0,-10.260875198721482,-2.139569616113362,-5.69622401625943
9,20.0,-10.260875198721482,-4.403179470598303,-7.363764652566102
