,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-2.6735365807867524,17.089867839162647,14.579755004636048
1,-20.0,-2.6735365807867524,14.584543535125526,11.60718670392228
2,-15.0,-2.6735365807867524,12.16330179167701,9.323124294272846
3,-10.0,-2.6735365807867524,9.57661136498183,6.188711444467988
4,-5.0,-2.6735365807867524,7.03836229999135,3.099889235143829
5,0.0,-2.6735365807867524,4.760985406566073,0.6581545084994189
6,5.0,-2.6735365807867524,2.305164007096519,-0.4161789454818208
7,10.0,-2.6735365807867524,0.4927606654658485,-1.2569745292397696
8,15.0,-2.6735365807867524,-0.8453994833927949,-1.8167035714587487
9,20.0,-2.6735365807867524,-1.569675344456709,-2.151389223260748
