,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-14.674114199914222,13.083942060453893,6.568788813374351
1,-19.444444444444443,-14.674114199914222,10.294505864208677,3.8741790072129785
2,-13.88888888888889,-14.674114199914222,7.50787809301909,1.387550814367295
3,-8.333333333333336,-14.674114199914222,4.7460060740051455,-0.735036319135006
4,-2.7777777777777786,-14.674114199914222,1.9632382175667646,-2.114999565501367
5,2.7777777777777786,-14.674114199914222,-0.8243687996991551,-2.9643252097300103
6,8.333333333333329,-14.674114199914222,-3.57318219523063,-4.394910545934421
7,13.888888888888886,-14.674114199914222,-6.282680744211185,-6.586354561350248
8,19.444444444444443,-14.674114199914222,-8.911054770704766,-9.028030373479034
9,25.0,-14.674114199914222,-11.199230180261404,-11.373682823760419
