,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,17.577585008250814,28.781329568924612,25.26746138981462
1,-20.0,17.577585008250814,26.31174312921833,22.8926846154709
2,-15.0,17.577585008250814,23.893891935365815,20.777603817684533
3,-10.0,17.577585008250814,21.666265517588407,19.194370622140656
4,-5.0,17.577585008250814,19.787828346165853,18.243973411709803
5,0.0,17.577585008250814,18.573813532317956,17.92246970668361
6,5.0,17.577585008250814,17.890369343813646,17.75022834166002
7,10.0,17.577585008250814,17.72233534199512,17.685037704822626
8,15.0,17.577585008250814,17.693989885504642,17.77297350792374
9,20.0,17.577585008250814,17.54382336404951,17.626273677119745
