,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-7.5719892362350745,6.521969637747347,2.908559393872718
1,-20.0,-7.5719892362350745,4.005473724720418,0.452797829326913
2,-15.0,-7.5719892362350745,1.5280240604735986,-1.9280354591995734
3,-10.0,-7.5719892362350745,-0.8807253946720074,-4.059416245239468
4,-5.0,-7.5719892362350745,-3.1901073649899745,-5.7986744218453765
5,0.0,-7.5719892362350745,-5.149980750792414,-6.747391681706403
6,5.0,-7.5719892362350745,-6.494235411664928,-7.167436339016327
7,10.0,-7.5719892362350745,-7.036600008568991,-7.321788193350286
8,15.0,-7.5719892362350745,-7.427290979398826,-7.500519493523995
9,20.0,-7.5719892362350745,-7.540170238460064,-7.4258236465204375
