,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,17.60017397497171,31.015376679816118,25.166249369716628
1,-20.0,17.60017397497171,27.93415574126761,22.776598464267238
2,-15.0,17.60017397497171,25.30425857768943,20.712534582108635
3,-10.0,17.60017397497171,23.513264448385776,19.17556131446567
4,-5.0,17.60017397497171,21.387690888827397,18.205551108796747
5,0.0,17.60017397497171,19.52034282962766,17.942237826180012
6,5.0,17.60017397497171,18.370293650349044,17.715955369615607
7,10.0,17.60017397497171,17.944429294884536,17.726828574781845
8,15.0,17.60017397497171,17.86082760618362,17.757154375726792
9,20.0,17.60017397497171,17.835125803247966,17.70638831871562
