,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-14.876160613389601,-0.2757995223940823,-6.553574432220865,-5.531602115592592,11.77236115853306
1,-19.444444444444443,-14.876160613389601,-3.077041565004594,-6.784924651731995,-10.150004438465913,9.001426164147423
2,-13.88888888888889,-14.876160613389601,-5.78388162619426,-7.326846096380328,-24.556912050396953,6.236384744293001
3,-8.333333333333336,-14.876160613389601,-8.453192370495046,-9.029833482498205,,3.481111364700923
4,-2.7777777777777786,-14.876160613389601,-10.859668297242822,-11.042919761819473,,0.7500712401413745
5,2.7777777777777786,-14.876160613389601,-12.800889963468629,-12.866188120139093,,-1.9429570559914824
6,8.333333333333329,-14.876160613389601,-14.048405828510353,-14.19203783924694,,-4.5669508437326485
7,13.888888888888886,-14.876160613389601,-14.543348947092126,-14.831352503108793,,-7.057660092956402
8,19.444444444444443,-14.876160613389601,-14.776066352793528,-15.109531584178962,,-9.356749824530954
9,25.0,-14.876160613389601,-15.018060802346069,-15.409405139564116,,-11.369202572462704
