,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-17.892251783468623,4.598427683790212,-1.2066909709245344,0.7786645975713575,16.62818152013325
1,-19.444444444444443,-17.892251783468623,1.8290980955759268,-3.360545012008332,-2.08705737360684,13.851605814545561
2,-13.88888888888889,-17.892251783468623,-0.9624545564369408,-5.208387789549369,-5.081446860661584,11.076092551632525
3,-8.333333333333336,-17.892251783468623,-3.735172862048381,-7.598688716786912,-8.239038490239686,8.302453144634436
4,-2.7777777777777786,-17.892251783468623,-6.533706196986274,-10.229423090255828,-11.831700494688832,5.5329688453931345
5,2.7777777777777786,-17.892251783468623,-9.254918508678387,-12.728515250929462,-16.13321846880695,2.771365497398973
6,8.333333333333329,-17.892251783468623,-11.88363873128136,-14.855662764504453,,0.022494381325268112
7,13.888888888888886,-17.892251783468623,-14.296617887717531,-16.33145772457681,,-2.6983859496769274
8,19.444444444444443,-17.892251783468623,-16.160557936458954,-16.182943606078606,,-5.3824084295465795
9,25.0,-17.892251783468623,-17.22221220038911,-17.232543843784843,,-7.966230851687767
