,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust",y Train Avg,y Test Avg
0,-25.0,-5.514582758480291,5.515461969443117,5.5229679252666655,4.8005644369780285,11.580687295774938,7.979727989493313e-17,6.245004513516506e-17
1,-19.444444444444443,-5.514582758480291,2.795632958189525,2.8165740957324448,1.2437630238263644,8.860248817123594,7.979727989493313e-17,6.245004513516506e-17
2,-13.88888888888889,-5.514582758480291,0.22426978171545556,0.22196705612325143,-3.270257601741966,6.1927524375897995,7.979727989493313e-17,6.245004513516506e-17
3,-8.333333333333336,-5.514582758480291,-2.07758681772438,-2.0681944684226994,-17.63792906523357,3.61337704147489,7.979727989493313e-17,6.245004513516506e-17
4,-2.7777777777777786,-5.514582758480291,-3.80878647690173,-3.8169908569365973,,1.1982335962700645,7.979727989493313e-17,6.245004513516506e-17
5,2.7777777777777786,-5.514582758480291,-4.812018907761695,-4.818613813355941,,-0.9930660273112513,7.979727989493313e-17,6.245004513516506e-17
6,8.333333333333329,-5.514582758480291,-5.212822229748361,-5.221834737113298,,-2.7936650437667065,7.979727989493313e-17,6.245004513516506e-17
7,13.888888888888886,-5.514582758480291,-5.384430423972035,-5.389190075851751,,-4.1969390255393,7.979727989493313e-17,6.245004513516506e-17
8,19.444444444444443,-5.514582758480291,-5.4216206435846885,-5.4223562638439144,,-5.161854967387586,7.979727989493313e-17,6.245004513516506e-17
9,25.0,-5.514582758480291,-5.526107995866981,-5.529332813414727,,-5.82147089221653,7.979727989493313e-17,6.245004513516506e-17
