,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust",y Train Avg,y Test Avg
0,-25.0,-9.129223890711263,5.515218443812447,5.4993957902223,4.935603547260951,11.547838246393303,7.806255641895632e-18,1.734723475976807e-18
1,-19.444444444444443,-9.129223890711263,2.7352781800957446,2.7323257833251,1.5696011303705368,8.796430802796296,7.806255641895632e-18,1.734723475976807e-18
2,-13.88888888888889,-9.129223890711263,-0.007525955065736901,-0.002406762591995125,-2.7114292273671614,6.068990219137634,7.806255641895632e-18,1.734723475976807e-18
3,-8.333333333333336,-9.129223890711263,-2.662024287906069,-2.6668476650371495,-10.119805388826324,3.387667675640631,7.806255641895632e-18,1.734723475976807e-18
4,-2.7777777777777786,-9.129223890711263,-5.125951874222377,-5.1171955609649284,,0.7740505850781743,7.806255641895632e-18,1.734723475976807e-18
5,2.7777777777777786,-9.129223890711263,-7.067905197367404,-7.042980266914025,,-1.6924560145542131,7.806255641895632e-18,1.734723475976807e-18
6,8.333333333333329,-9.129223890711263,-8.18278967329165,-8.196318055554567,,-3.9196448174511893,7.806255641895632e-18,1.734723475976807e-18
7,13.888888888888886,-9.129223890711263,-8.943413309210984,-8.92486403066511,,-5.920878597085642,7.806255641895632e-18,1.734723475976807e-18
8,19.444444444444443,-9.129223890711263,-9.054829092680297,-9.037913406570725,,-7.396818937215719,7.806255641895632e-18,1.734723475976807e-18
9,25.0,-9.129223890711263,-8.971337993648985,-8.949005780803091,,-8.408721870485905,7.806255641895632e-18,1.734723475976807e-18
