,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust",y Train Avg,y Test Avg
0,-25.0,-15.473757899220411,5.505014335538441,5.4928076997177175,5.435579032971228,11.524838794148327,2.0816681711721685e-17,1.734723475976807e-17
1,-19.444444444444443,-15.473757899220411,2.7098540243335503,2.710300140302862,2.5962576022783224,8.75364451493989,2.0816681711721685e-17,1.734723475976807e-17
2,-13.88888888888889,-15.473757899220411,-0.07274369994655311,-0.05574546021268823,-0.298228715441654,5.988590198978593,2.0816681711721685e-17,1.734723475976807e-17
3,-8.333333333333336,-15.473757899220411,-2.804634589841127,-2.8467178402748843,-3.281315821615396,3.237713643354598,2.0816681711721685e-17,1.734723475976807e-17
4,-2.7777777777777786,-15.473757899220411,-5.573875592379326,-5.58607672552133,-6.521718347903231,0.5040451105878636,2.0816681711721685e-17,1.734723475976807e-17
5,2.7777777777777786,-15.473757899220411,-8.302144597077115,-8.295350002526227,-10.280672957704546,-2.191976987301658,2.0816681711721685e-17,1.734723475976807e-17
6,8.333333333333329,-15.473757899220411,-10.88104118590265,-10.852509192525538,-15.536997984973622,-4.815148475293315,2.0816681711721685e-17,1.734723475976807e-17
7,13.888888888888886,-15.473757899220411,-12.98900910180442,-12.98554294958699,,-7.296933734533865,2.0816681711721685e-17,1.734723475976807e-17
8,19.444444444444443,-15.473757899220411,-14.353770243702344,-14.359977263533668,,-9.594145309807935,2.0816681711721685e-17,1.734723475976807e-17
9,25.0,-15.473757899220411,-15.250814813075326,-15.26059726201442,,-11.565536895000912,2.0816681711721685e-17,1.734723475976807e-17
