,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-30.0,18.05211078040822,43.475173518133836,37.32979879706509
1,-27.142857142857142,18.05211078040822,42.039955351023536,35.880931375270485
2,-24.285714285714285,18.05211078040822,40.605523646230665,34.4542654787499
3,-21.42857142857143,18.05211078040822,39.173488620250254,33.02451511388793
4,-18.57142857142857,18.05211078040822,37.74392753443741,31.617594358432633
5,-15.714285714285714,18.05211078040822,36.30677677225493,30.155634551336753
6,-12.857142857142858,18.05211078040822,34.89494866569147,28.74739142488685
7,-10.0,18.05211078040822,33.46102153088873,27.346562416270473
8,-7.142857142857142,18.05211078040822,32.046213684627595,25.96126113137478
9,-4.285714285714285,18.05211078040822,30.626561253473234,24.605331746727725
10,-1.428571428571427,18.05211078040822,29.18822511341808,23.316086586157706
11,1.4285714285714306,18.05211078040822,27.783439720759574,22.11264539053298
12,4.285714285714285,18.05211078040822,26.38771466364031,21.10454996096536
13,7.142857142857146,18.05211078040822,25.020528563483694,20.230470548720643
14,10.0,18.05211078040822,23.743619512255446,19.588190344819402
