,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-5.437623855579651,5.524704201899803,5.522661209093545,4.815467455433282,17.552684488653085
1,-19.444444444444443,-5.437623855579651,2.835399223297721,2.8181077148202287,1.2797431620733715,14.789657158647248
2,-13.88888888888889,-5.437623855579651,0.2306169435102332,0.22353997614426466,-3.362603876757553,12.039851592903055
3,-8.333333333333336,-5.437623855579651,-2.062327996747263,-2.0574447746711604,-14.982568863635219,9.315667431192193
4,-2.7777777777777786,-5.437623855579651,-3.6946356529181696,-3.7172603416263788,,6.636618797686862
5,2.7777777777777786,-5.437623855579651,-4.743012124495194,-4.725442210509766,,4.033711527086287
6,8.333333333333329,-5.437623855579651,-5.1641282402507045,-5.166847453498853,,1.5839917249789048
7,13.888888888888886,-5.437623855579651,-5.372969937323328,-5.3651403448372825,,-0.6461126640037101
8,19.444444444444443,-5.437623855579651,-5.383803047053908,-5.385525939836877,,-2.534621982037461
9,25.0,-5.437623855579651,-5.516099345202598,-5.5155161537847714,,-4.011010328835735
