,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-17.980224598603943,4.592349771603532,-1.8524826601740443,4.547268857204398,16.629736320289247
1,-19.444444444444443,-17.980224598603943,1.8222291037581795,-2.3101845125818783,1.7318033539214628,13.85314824250064
2,-13.88888888888889,-17.980224598603943,-0.9960186768006047,-2.955154347162839,-1.116108128202233,11.07762658360256
3,-8.333333333333336,-17.980224598603943,-3.7299474275315325,-4.503047285887936,-4.0401814857049505,8.30403866783134
4,-2.7777777777777786,-17.980224598603943,-6.507386978018611,-6.779344609214798,-7.130903934497427,5.534415953173589
5,2.7777777777777786,-17.980224598603943,-9.242419232823728,-9.337920705937895,-10.528979097213824,2.7712764162144117
6,8.333333333333329,-17.980224598603943,-11.917348170133229,-11.953351931843397,-14.644247567447756,0.021889408243221567
7,13.888888888888886,-17.980224598603943,-14.32229405776239,-14.325903037068557,-23.623869877089444,-2.7041669624493707
8,19.444444444444443,-17.980224598603943,-16.189643748757995,-16.17121362537399,,-5.38682754594272
9,25.0,-17.980224598603943,-17.352600000456317,-17.351993282841793,,-7.977593728598781
