,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-8.742125171841511,5.522573366682399,-0.34837111346322674,5.003356722391947,17.569099642598406
1,-19.444444444444443,-8.742125171841511,2.781427081989905,-1.1966537105538981,1.4598718998745366,14.799770842270659
2,-13.88888888888889,-8.742125171841511,0.0026922192383985817,-1.8779650372543533,-2.854353176743281,12.039375218470944
3,-8.333333333333336,-8.742125171841511,-2.679395612569494,-3.333478475251161,-8.225226542487832,9.292274943516167
4,-2.7777777777777786,-8.742125171841511,-5.139962670549547,-5.272827926610924,,6.569718663165166
5,2.7777777777777786,-8.742125171841511,-6.996975441333156,-7.052071627377029,,3.9036151958102305
6,8.333333333333329,-8.742125171841511,-8.118454073607735,-8.24945640574205,,1.3186472588008824
7,13.888888888888886,-8.742125171841511,-8.566159579725044,-8.699102141231315,,-1.1049536848536106
8,19.444444444444443,-8.742125171841511,-8.404009727723903,-8.7239565866119,,-3.229514168215074
9,25.0,-8.742125171841511,-8.625078115534881,-9.010228069284613,,-5.127531655005085
