,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-14.75688069943721,-0.2693537163119871,-0.26414246066236363,-0.838351061887933,11.771889377466717
1,-19.444444444444443,-14.75688069943721,-3.0617780849205056,-3.0233902423952346,-4.202214795536526,9.001580402202599
2,-13.88888888888889,-14.75688069943721,-5.7891137406935815,-5.768855351875266,-8.29979117877987,6.2372832737184805
3,-8.333333333333336,-14.75688069943721,-8.412708551478001,-8.418173579214777,-15.161197372307848,3.483667130709291
4,-2.7777777777777786,-14.75688069943721,-10.837359306748551,-10.825444259812524,,0.7558537423414348
5,2.7777777777777786,-14.75688069943721,-12.702718253560993,-12.679845140870567,,-1.9412360323572286
6,8.333333333333329,-14.75688069943721,-14.006527992992108,-13.993552883717332,,-4.5685168119618105
7,13.888888888888886,-14.75688069943721,-14.250144361766088,-14.267526737307946,,-7.049276897697716
8,19.444444444444443,-14.75688069943721,-14.5927505296684,-14.596242649319976,,-9.336185850503853
9,25.0,-14.75688069943721,-14.672884294961717,-14.673042829205476,,-11.311799757401914
