,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-17.896933432558328,4.582622057434366,4.593720372858946,4.543576600063443,16.62751950817462
1,-19.444444444444443,-17.896933432558328,1.8042307187322653,1.8102103873196127,1.7278038771966004,13.850937005708001
2,-13.88888888888889,-17.896933432558328,-0.9768156859877117,-0.9923024972680239,-1.1278842039224577,11.07540482968081
3,-8.333333333333336,-17.896933432558328,-3.752647727863919,-3.726689366552583,-4.071468129840688,8.301828438192418
4,-2.7777777777777786,-17.896933432558328,-6.501446176486189,-6.5146800574430905,-7.119154643646207,5.5321424853536
5,2.7777777777777786,-17.896933432558328,-9.250149743578675,-9.264349858924119,-10.47098221137788,2.769917072559708
6,8.333333333333329,-17.896933432558328,-11.892480696165123,-11.884463392616249,-14.822169658174452,0.020837862970932375
7,13.888888888888886,-17.896933432558328,-14.294554868554183,-14.29872213059728,-23.153100140633498,-2.706036452938058
8,19.444444444444443,-17.896933432558328,-16.098540373178718,-16.124244821870175,,-5.378834699833374
9,25.0,-17.896933432558328,-17.288104248678895,-17.273795399874476,,-7.975739240912461
