,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound, Robust"
0,-25.0,-14.805319013854488,-0.27223774707101533,-4.964544598523108,-0.8414916351432583,11.771864543813248
1,-19.444444444444443,-14.805319013854488,-3.0272230556020965,-4.855376910740421,-4.243115039423639,9.000239487385134
2,-13.88888888888889,-14.805319013854488,-5.802715076146399,-6.51945919121406,-8.342032114326763,6.235340109390157
3,-8.333333333333336,-14.805319013854488,-8.455930271061794,-8.69823680734705,-16.155351171223867,3.481684622862484
4,-2.7777777777777786,-14.805319013854488,-10.842068902763405,-10.874088374449455,,0.751446954030952
5,2.7777777777777786,-14.805319013854488,-12.9153009310067,-12.918497669191243,,-1.9482907832962928
6,8.333333333333329,-14.805319013854488,-14.03633458535137,-14.160787779987539,,-4.569585102593907
7,13.888888888888886,-14.805319013854488,-14.547006265082565,-14.811394184485376,,-7.063434667573133
8,19.444444444444443,-14.805319013854488,-14.889416717863828,-15.143792369498348,,-9.382504430425954
9,25.0,-14.805319013854488,-14.831112357440668,-15.092182877617962,,-11.346486975136767
