,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-0.8451315826191408,8.0524208050741,-0.3445768258306777,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
1,-1.5555555555555556,-0.8451315826191408,7.362098156749223,-0.4107871172603828,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
2,-0.11111111111111116,-0.8451315826191408,6.646725823591875,-0.4779321129900727,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
3,1.333333333333333,-0.8451315826191408,5.96972114787934,-0.5396945120994193,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
4,2.7777777777777777,-0.8451315826191408,5.2658883437622634,-0.6013492407976166,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
5,4.222222222222222,-0.8451315826191408,4.613855362713985,-0.6329018399637588,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
6,5.666666666666666,-0.8451315826191408,3.9658783337951813,-0.6662714828946739,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
7,7.111111111111111,-0.8451315826191408,3.3680481084156315,-0.6852799683236617,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
8,8.555555555555555,-0.8451315826191408,2.746357564028514,-0.7092331981748261,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
9,10.0,-0.8451315826191408,2.2012172346968684,-0.7215024661967486,0.0,0.0,0.0,0.0,-1.139458649876471,-1.139458649876471
