,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-3.40021033002604,8.864801179146507,-1.876628474390486,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
1,-1.5555555555555556,-3.40021033002604,8.149644566515853,-2.0583943810584997,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
2,-0.11111111111111116,-3.40021033002604,7.439841487195949,-2.2290211337182724,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
3,1.333333333333333,-3.40021033002604,6.709702086508093,-2.3589803655914876,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
4,2.7777777777777777,-3.40021033002604,6.00163429831393,-2.4808042401751345,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
5,4.222222222222222,-3.40021033002604,5.272462760665883,-2.5836846884212243,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
6,5.666666666666666,-3.40021033002604,4.570752554354955,-2.6700457268558346,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
7,7.111111111111111,-3.40021033002604,3.884377714881355,-2.747658955319055,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
8,8.555555555555555,-3.40021033002604,3.195536867823741,-2.8195764088557795,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
9,10.0,-3.40021033002604,2.507489836456409,-2.8763774951737386,0.0,0.0,0.0,0.0,-0.9320783369362224,-0.932078336936223
