,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-4.453907189699931,-0.9147134219825698,-3.712142580005336,-4.602744150273667,,5.493717627369938,-1.5147330033869977,-1.7527230662454465,-1.7527230662454465
1,-1.5555555555555556,-4.453907189699931,-1.4658657204448295,-3.830239936316519,-4.602744150273667,,4.85018219886377,-1.8554737058761817,-1.7527230662454465,-1.7527230662454465
2,-0.11111111111111116,-4.453907189699931,-1.9375339860331728,-3.930480466778497,-4.602744150273667,,4.21908371298972,-2.166508623693329,-1.7527230662454465,-1.7527230662454465
3,1.333333333333333,-4.453907189699931,-2.3724772850178026,-4.01056498564542,-4.602744150273667,,3.602066077010374,-2.4485127033055214,-1.7527230662454465,-1.7527230662454465
4,2.7777777777777777,-4.453907189699931,-2.7482072904990344,-4.069078828582866,-4.602744150273667,,3.000887239244509,-2.702521169558647,-1.7527230662454465,-1.7527230662454465
5,4.222222222222222,-4.453907189699931,-3.0917472106242174,-4.121790651999485,-4.602744150273667,,2.417394959528028,-2.929877213387904,-1.7527230662454465,-1.7527230662454465
6,5.666666666666666,-4.453907189699931,-3.3743057492946535,-4.168708921899212,-4.602744150273667,,1.853492224417887,-3.132168405954216,-1.7527230662454465,-1.7527230662454465
7,7.111111111111111,-4.453907189699931,-3.599211075836273,-4.193324919159105,-4.602744150273667,,1.3110918898110802,-3.311157803223921,-1.7527230662454465,-1.7527230662454465
8,8.555555555555555,-4.453907189699931,-3.801117135513899,-4.230267964688216,-4.602744150273667,,0.7920611590756779,-3.468715401864397,-1.7527230662454465,-1.7527230662454465
9,10.0,-4.453907189699931,-3.9572015366723434,-4.254247848395796,-4.602744150273667,,0.2981578139143173,-3.6067546252268934,-1.7527230662454465,-1.7527230662454465
