,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-7.8924843769820985,-2.185806331492743,-5.170532840104173,-7.918017446334499,-6.948567250130066,3.828523151146552,-2.9296482493239107,-0.2928210456272984,-0.2928210456272984
1,-1.5555555555555556,-7.8924843769820985,-2.8052837945454208,-5.552240129227121,-7.918017446334499,-7.805533008449615,3.1586170896473096,-3.409273634375385,-0.2928210456272984,-0.2928210456272984
2,-0.11111111111111116,-7.8924843769820985,-3.396034124083905,-5.907799940962969,-7.918017446334499,-8.689100296489544,2.497375553112435,-3.8614354076690427,-0.2928210456272984,-0.2928210456272984
3,1.333333333333333,-7.8924843769820985,-3.9720004311709562,-6.218718011298368,-7.918017446334499,-9.608781999764238,1.8460813500893414,-4.284961394736319,-0.2928210456272984,-0.2928210456272984
4,2.7777777777777777,-7.8924843769820985,-4.467295540777807,-6.502303549306169,-7.918017446334499,-10.5805389576817,1.2061548378208133,-4.679019397453973,-0.2928210456272984,-0.2928210456272984
5,4.222222222222222,-7.8924843769820985,-4.953999384506761,-6.734755258649111,-7.918017446334499,-11.62394547363986,0.5791511527710984,-5.043160448841009,-0.2928210456272984,-0.2928210456272984
6,5.666666666666666,-7.8924843769820985,-5.39405653495725,-6.946613079383961,-7.918017446334499,-12.76125705628877,-0.03324919946931133,-5.377342919219944,-0.2928210456272984,-0.2928210456272984
7,7.111111111111111,-7.8924843769820985,-5.802483719620756,-7.12047109897121,-7.918017446334499,-14.033111312585476,-0.6292579887405231,-5.6819347787535595,-0.2928210456272984,-0.2928210456272984
8,8.555555555555555,-7.8924843769820985,-6.15776067299115,-7.25713159734439,-7.918017446334499,-15.51100456524215,-1.2070065411682516,-5.957693759299003,-0.2928210456272984,-0.2928210456272984
9,10.0,-7.8924843769820985,-6.457678239871444,-7.37734592757781,-7.918017446334499,-17.337333943637677,-1.7645835905239644,-6.205727645512563,-0.2928210456272984,-0.2928210456272984
