,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-30.0,-18.0017965939368,7.099423319867867,-2.2817450768411
1,-27.142857142857142,-18.0017965939368,5.660022294847388,-2.2814448655520376
2,-24.285714285714285,-18.0017965939368,4.244018658350016,-2.2875272164591425
3,-21.42857142857143,-18.0017965939368,2.781617540047467,-2.2961079760558056
4,-18.57142857142857,-18.0017965939368,1.3803231698410614,-2.3444959858032175
5,-15.714285714285714,-18.0017965939368,-0.06833163756886253,-2.6139344596226595
6,-12.857142857142858,-18.0017965939368,-1.4857054782488852,-3.166478592737417
7,-10.0,-18.0017965939368,-2.9258332302958987,-3.9635783987832687
8,-7.142857142857142,-18.0017965939368,-4.344453228310671,-4.92000688728975
9,-4.285714285714285,-18.0017965939368,-5.753364665478563,-6.108146216397678
10,-1.428571428571427,-18.0017965939368,-7.169387065198574,-7.3763083381051455
11,1.4285714285714306,-18.0017965939368,-8.597895648355662,-8.679576901882719
12,4.285714285714285,-18.0017965939368,-10.006674156905715,-10.028564098098542
13,7.142857142857146,-18.0017965939368,-11.361674721466892,-11.379962962499786
14,10.0,-18.0017965939368,-12.650704564040637,-12.657404469020188
