,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-25.0,-7.472616348306618,6.471362960053813,6.4748607742478095,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
1,-19.444444444444443,-7.472616348306618,3.6997881209527588,3.696775912458556,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
2,-13.88888888888889,-7.472616348306618,0.9582039301091143,0.9451100519596467,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
3,-8.333333333333336,-7.472616348306618,-1.697333947856309,-1.7126715063032136,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
4,-2.7777777777777786,-7.472616348306618,-4.1035715189769855,-4.126474046071037,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
5,2.7777777777777786,-7.472616348306618,-5.934385402205571,-5.942356531350872,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
6,8.333333333333329,-7.472616348306618,-6.932131283495514,-6.9217051729636845,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
7,13.888888888888886,-7.472616348306618,-7.308861472215005,-7.307538892657599,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
8,19.444444444444443,-7.472616348306618,-7.426207997764175,-7.424259306161708,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
9,25.0,-7.472616348306618,-7.46093281594773,-7.459522327457961,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
