,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound (CLN), Robust","Lower bound (FLD), Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-3.0,-5.454428443918391,3.3057582805380354,-4.01931141805033,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
1,-1.5555555555555556,-5.454428443918391,2.622690493930911,-4.270849006078144,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
2,-0.11111111111111116,-5.454428443918391,1.9189663612274046,-4.477869636010337,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
3,1.333333333333333,-5.454428443918391,1.2128575476162238,-4.659161572595507,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
4,2.7777777777777777,-5.454428443918391,0.5305571839587606,-4.816477112068637,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
5,4.222222222222222,-5.454428443918391,-0.138985625189624,-4.936044604233051,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
6,5.666666666666666,-5.454428443918391,-0.7914782561146315,-5.051521883786242,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
7,7.111111111111111,-5.454428443918391,-1.4035396888638072,-5.131822737159977,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
8,8.555555555555555,-5.454428443918391,-2.0000915602306493,-5.200180814071728,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
9,10.0,-5.454428443918391,-2.549559611748795,-5.255891543771081,0.0,0.0,0.0,0.0,-0.9346642756749981,-0.9346642756749994
