,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-14.15418683824388,18.646931447418773,12.521392494552755
1,-20.0,-14.15418683824388,16.156864465128827,10.018419951311788
2,-15.0,-14.15418683824388,13.660509419890975,7.573659291083054
3,-10.0,-14.15418683824388,11.150402934454728,5.16646608471392
4,-5.0,-14.15418683824388,8.667093181829063,2.827871824397988
5,0.0,-14.15418683824388,6.17224507080023,0.7316803029566467
6,5.0,-14.15418683824388,3.6800749258004024,-1.2572174803337834
7,10.0,-14.15418683824388,1.1684399791909523,-3.2576906537056605
8,15.0,-14.15418683824388,-1.3205282406469157,-5.153069236373185
9,20.0,-14.15418683824388,-3.803493270128799,-6.705470816137048
