,SNR,"LR, Noiseless","LR, Prior","LR, Robust"
0,-40.0,0.11083710657281036,8.418994911709545,0.6753118428881622
1,-32.77777777777778,0.11246367536578816,2.788786567255646,0.422503275468579
2,-25.555555555555557,0.10889611942744977,1.3191934182027292,0.23240394806690357
3,-18.333333333333332,0.11326430033533565,0.7424535111561654,0.1488744429134629
4,-11.11111111111111,0.11180390407662978,0.24837701269182,0.12573501276245985
5,-3.8888888888888857,0.11599208223879827,0.1781601288954057,0.11829132467280125
6,3.3333333333333357,0.1166132590390283,0.12654888976311238,0.1173342043766574
7,10.555555555555557,0.10707543442654516,0.10858156518000676,0.10896968036259536
8,17.77777777777778,0.11459843243174929,0.11518531433022068,0.11657969643697307
9,25.0,0.11314854069842623,0.11536840209752562,0.11346414753529865
