,SNR,"LR, Noiseless","LR, Prior","LR, Robust"
0,-40.0,61.82003990515646,909.4040692648592,128.1979845561604
1,-32.77777777777778,60.28124241187084,256.97812545898034,86.75682794774373
2,-25.555555555555557,60.679033569969015,152.39720847014672,71.03781099628371
3,-18.333333333333332,61.52107735937358,105.42580636126391,64.73723570497886
4,-11.11111111111111,61.565277801430696,82.36867277019634,65.482456710425
5,-3.8888888888888857,63.25057047428036,66.23700042092476,63.8293638734491
6,3.3333333333333357,60.90451912448732,62.27383522590943,63.19519696252622
7,10.555555555555557,63.83437684869155,63.88799272924653,64.51906324881283
8,17.77777777777778,62.77394827142859,62.81774060882704,62.45145016516932
9,25.0,60.25220834446011,62.0514673008675,60.22502413024277
