,SNR,"BEM, Noiseless","BEM, Prior","BEM, Robust"
0,-40.0,187785.50635543038,3422110.4168619574,722021.7641034721
1,-32.77777777777778,183060.2433817384,1507545.015123316,360088.32706700155
2,-25.555555555555557,184772.09431491393,665585.1090843867,230343.12096071205
3,-18.333333333333332,178708.24574296214,333843.0639425098,192393.18718533366
4,-11.11111111111111,190563.8407387383,227700.2812057625,195687.3660017366
5,-3.8888888888888857,182863.96832549578,190536.85666479642,194210.2825186592
6,3.3333333333333357,183655.78086326318,185114.2686749617,191398.62835668336
7,10.555555555555557,181591.74488159694,181810.1454311401,186244.20582242613
8,17.77777777777778,185630.71304623206,185691.85962135458,200516.0774800049
9,25.0,188561.45872551415,188553.76208561714,186733.4915370462
