,SNR,"GEM, Noiseless","GEM, Prior","GEM, Robust"
0,-40.0,60.42693123855898,840.1884772027362,161.21977868046307
1,-32.77777777777778,60.290573050177734,379.2746369025419,86.43147894821138
2,-25.555555555555557,62.05504657321467,189.16069239061568,74.131587173439
3,-18.333333333333332,62.080272190716926,125.2375189061148,68.73575801314628
4,-11.11111111111111,63.848706208592816,76.59264211032624,66.59019035247078
5,-3.8888888888888857,64.14392164384893,65.76767107639596,64.41260583049521
6,3.3333333333333357,63.21402694104549,63.70968838014964,65.215517852807
7,10.555555555555557,61.784372879607524,63.821061636054395,63.33825430558962
8,17.77777777777778,62.148852681059736,64.04833027294711,63.51290000322246
9,25.0,61.95395023601501,61.58811936783138,64.32393289300666
