,SNR,"GEM, Noiseless","GEM, Prior","GEM, Robust"
0,-40.0,187767.87223270134,3936566.266890797,718687.3487722217
1,-32.77777777777778,187590.61247573144,1673405.500568777,358866.5666987596
2,-25.555555555555557,181780.36464350918,624308.6649144806,228832.44530990603
3,-18.333333333333332,184250.0385657993,330678.2878868853,197992.16699278826
4,-11.11111111111111,186060.7895697934,247069.97012899787,187712.11501867734
5,-3.8888888888888857,183670.5120398603,190760.534175687,182738.7925473903
6,3.3333333333333357,182886.77860095448,185902.54411877654,182526.64078732015
7,10.555555555555557,181491.20250752737,184233.35546838422,182245.55488840744
8,17.77777777777778,180304.77161321178,180998.79992754516,179781.66725944245
9,25.0,183156.18481606315,183497.95799738786,183496.418944004
