,SNR,"LR, Noiseless","LR, Prior","LR, Robust"
0,-40.0,183556.64059841912,3377897.809344882,507536.66996064235
1,-32.77777777777778,182719.09163472537,1516836.5546920707,335054.76693360036
2,-25.555555555555557,185086.36499061502,729508.2947530766,227260.46689784183
3,-18.333333333333332,183802.851991392,327916.49193010834,197713.5279727402
4,-11.11111111111111,179555.99034492407,215467.9860846418,186551.18764804493
5,-3.8888888888888857,185355.12820165794,194171.8488467723,189371.18306615384
6,3.3333333333333357,185398.13577169355,187809.3393666727,186223.31262072828
7,10.555555555555557,187607.11636137485,187635.3887037636,189298.24737415195
8,17.77777777777778,186599.4824443544,187867.39629152624,185494.12456818056
9,25.0,180840.16780877617,181769.57496433356,181148.77489969943
