,SNR,"BEM, Noiseless","BEM, Prior","BEM, Robust"
0,-40.0,60.39984573320516,770.1418737689147,169.66532300419038
1,-32.77777777777778,62.21415056818368,336.81352137293624,100.66524173017093
2,-25.555555555555557,65.14047977954782,158.6856986621573,77.64938759177193
3,-18.333333333333332,59.74609215579699,86.74675759967118,67.14835349961456
4,-11.11111111111111,64.29150229924359,68.8306328179328,64.0970383989564
5,-3.8888888888888857,60.34096429245699,62.20554241411745,65.43266955094985
6,3.3333333333333357,62.004693361499925,61.79094949369332,63.47376701146219
7,10.555555555555557,65.82897553519425,65.91775995018162,71.31301807029415
8,17.77777777777778,64.99741979421356,65.04328609043934,65.27642310203818
9,25.0,62.03416350280497,62.06473298408713,64.43207328683975
