,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-3.0,-6.866596241385823,0.7526984416915212,-1.2531663847134542
1,-1.5555555555555556,-6.866596241385823,0.06530825664434765,-1.6265117688627542
2,-0.11111111111111116,-6.866596241385823,-0.6350119367249876,-2.000187519701191
3,1.333333333333333,-6.866596241385823,-1.3219613572875097,-2.3519373856146744
4,2.7777777777777777,-6.866596241385823,-1.9537076776777633,-2.7089868784669804
5,4.222222222222222,-6.866596241385823,-2.580282917939582,-3.0910718051326027
6,5.666666666666666,-6.866596241385823,-3.1703562560723526,-3.502574520256358
7,7.111111111111111,-6.866596241385823,-3.7750610246950367,-3.8728415339753375
8,8.555555555555555,-6.866596241385823,-4.28987943150212,-4.322136273834141
9,10.0,-6.866596241385823,-4.754125999313957,-4.714873635382792
