,SNR,"GEM, Noiseless","GEM, Prior","GEM, Robust"
0,-40.0,187767.87223270134,3920379.923813821,713172.5337613978
1,-32.77777777777778,187590.61247573144,1690648.378359943,360529.06609564414
2,-25.555555555555557,181780.36464350918,624717.2142931642,225881.03569636168
3,-18.333333333333332,184250.0385657993,325903.93775950006,198172.82978122318
4,-11.11111111111111,186060.7895697934,245493.14925710158,188015.3852340983
5,-3.8888888888888857,183670.5120398603,190547.00423579442,182463.40958788732
6,3.3333333333333357,182886.77860095448,185534.52475895913,182371.46084895352
7,10.555555555555557,181491.20250752737,184186.61775388967,182483.71277359908
8,17.77777777777778,180304.77161321178,181029.91426574852,179726.16297585322
9,25.0,183156.18481606315,183525.47537922187,183489.02626586863
