,SNR,"BEM, Noiseless","BEM, Prior","BEM, Robust"
0,-40.0,0.15803125192794096,5.229857526892346,1.1169922955020237
1,-32.77777777777778,0.15627289805394584,2.356502816753709,0.5393429525998347
2,-25.555555555555557,0.16272628296556454,1.0436494099823592,0.2729917553045685
3,-18.333333333333332,0.15643183707930763,0.48034377940223705,0.18806313061752802
4,-11.11111111111111,0.16310100924885962,0.25354401131501114,0.1689543795171688
5,-3.8888888888888857,0.14782105216219574,0.17197852258786822,0.15222753569669675
6,3.3333333333333357,0.15801339554870597,0.16278802789789895,0.16358767303686675
7,10.555555555555557,0.15424143816560185,0.1552332873538719,0.15557174583456096
8,17.77777777777778,0.17294303547662335,0.1728164890750699,0.173444103246368
9,25.0,0.15748116538669218,0.15763565231201995,0.16181728711465282
