,SNR,"GEM, Noiseless","GEM, Prior","GEM, Robust"
0,-40.0,0.15148491650983514,9.210444797146168,1.1414907734974067
1,-32.77777777777778,0.16428325081375217,3.755747736173635,0.5214898686525328
2,-25.555555555555557,0.15271279873856308,1.7476726927353317,0.27170582210968586
3,-18.333333333333332,0.16783552485665498,0.6908112809886161,0.1883950294760978
4,-11.11111111111111,0.15522046046136406,0.3198378449892764,0.1614463090398427
5,-3.8888888888888857,0.15486894814386876,0.17546056105085975,0.1598954396560711
6,3.3333333333333357,0.16573385025371612,0.17165046446718238,0.16715219587135938
7,10.555555555555557,0.15576222179062152,0.15955807936991917,0.15810023516019725
8,17.77777777777778,0.15433029713197433,0.15424648014158346,0.15623996922018002
9,25.0,0.16043025798577598,0.17146941451855524,0.16464520557575732
