,SNR,"GEM, Noiseless","GEM, Prior","GEM, Robust"
0,-40.0,60.42693123855898,894.0021279836487,168.40850070497524
1,-32.77777777777778,60.290573050177734,352.73925736540303,90.12754302764841
2,-25.555555555555557,62.05504657321467,189.88463604704856,75.15909868933169
3,-18.333333333333332,62.080272190716926,123.17675568967104,69.41172234103796
4,-11.11111111111111,63.848706208592816,77.81027145876584,66.03498130188571
5,-3.8888888888888857,64.14392164384893,65.54399154408468,63.4947249274745
6,3.3333333333333357,63.21402694104549,64.21162541475955,65.33077640916298
7,10.555555555555557,61.784372879607524,64.13063470925016,63.332668240394426
8,17.77777777777778,62.148852681059736,64.16646914252422,63.373563355788974
9,25.0,61.95395023601501,61.622371461432,64.28551871723711
