,SNR,"BEM, Noiseless","BEM, Prior","BEM, Robust"
0,-40.0,100.50723860852331,1587.1079378892841,338.6924769361751
1,-32.77777777777778,100.73488887570858,630.2777640423297,169.17177451914185
2,-25.555555555555557,96.09686052844442,314.92064925728744,120.91913969679615
3,-18.333333333333332,99.44541273239028,157.93172438393609,114.00327439841054
4,-11.11111111111111,99.0487812262752,110.8805526302758,108.22073876099661
5,-3.8888888888888857,96.4144367866577,100.09583603837757,103.05331372465444
6,3.3333333333333357,101.33317939703666,102.04144822058049,107.23701365351516
7,10.555555555555557,96.53697508406094,96.22982966864856,106.29316292126352
8,17.77777777777778,99.57077295372359,99.5727953131468,99.65384668869191
9,25.0,98.5903471286721,98.61935175611836,101.31077392007649
