,SNR,"LR, Noiseless","LR, Prior","LR, Robust"
0,-40.0,183556.64059841912,3328133.1686062412,506243.6603117487
1,-32.77777777777778,182719.09163472537,1509068.71120105,334999.53151850234
2,-25.555555555555557,185086.36499061502,742984.5423851522,226149.00172197408
3,-18.333333333333332,183802.851991392,324516.8817596125,197005.52892468934
4,-11.11111111111111,179555.99034492407,215105.46174434925,186763.669432294
5,-3.8888888888888857,185355.12820165794,194600.72085655277,189237.91061720983
6,3.3333333333333357,185398.13577169355,187939.35133066238,185896.37507235675
7,10.555555555555557,187607.11636137485,187284.74326443183,189153.23504293914
8,17.77777777777778,186599.4824443544,187901.44740905162,185500.41615436782
9,25.0,180840.16780877617,181773.15682421371,181187.0280164292
