,SNR,"BEM, Noiseless","BEM, Prior","BEM, Robust"
0,-40.0,187785.50635543038,3440012.9534619814,724338.9745037494
1,-32.77777777777778,183060.2433817384,1494353.6783779766,356987.9934600936
2,-25.555555555555557,184772.09431491393,669388.2577771875,229725.60346494132
3,-18.333333333333332,178708.24574296214,331932.4264873341,192592.25929031518
4,-11.11111111111111,190563.8407387383,226953.78377009855,195629.78445753048
5,-3.8888888888888857,182863.96832549578,190931.3854528901,194347.6140861245
6,3.3333333333333357,183655.78086326318,184863.2773662316,191378.3472712108
7,10.555555555555557,181591.74488159694,181853.8326498098,186236.43660963146
8,17.77777777777778,185630.71304623206,185624.69579321274,200516.53755848526
9,25.0,188561.45872551415,188551.09413212462,186733.69970865583
