,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust","Lower bound, Robust","Upper bound (BEM), Robust","Upper bound (GEM), Robust",y Train Avg,y Test Avg
0,-25.0,-9.157550656918279,5.497982778508574,1.838318895181129,0.2611019652823137,17.544719368866378,6.5065342863560645,-0.9935587143815261,-0.9935587143815261
1,-19.444444444444443,-9.157550656918279,2.735520889695893,-0.9280228257472443,-4.488422973045831,14.773160878104177,3.807090011388655,-0.9935587143815261,-0.9935587143815261
2,-13.88888888888889,-9.157550656918279,0.00903093065217337,-3.2378872261706,-23.96086404694732,12.008079388059015,1.185301954481233,-0.9935587143815261,-0.9935587143815261
3,-8.333333333333336,-9.157550656918279,-2.6916489895310236,-4.271164168508503,,9.253769042033502,-1.3170079149848681,-0.9935587143815261,-0.9935587143815261
4,-2.7777777777777786,-9.157550656918279,-5.0711901474466545,-5.683815556814192,,6.526390444378755,-3.552031408187056,-0.9935587143815261,-0.9935587143815261
5,2.7777777777777786,-9.157550656918279,-7.086959358180436,-7.280109225081512,,3.8287646176511894,-5.5755646685781475,-0.9935587143815261,-0.9935587143815261
6,8.333333333333329,-9.157550656918279,-8.32864714776327,-8.38550298489237,,1.2049382174804026,-7.165421037329263,-0.9935587143815261,-0.9935587143815261
7,13.888888888888886,-9.157550656918279,-8.963421829295644,-8.966475216492242,,-1.3049836239461345,-8.368226379542355,-0.9935587143815261,-0.9935587143815261
8,19.444444444444443,-9.157550656918279,-9.014067506192724,-9.012828232217123,,-3.570694766858807,-9.007143889514584,-0.9935587143815261,-0.9935587143815261
9,25.0,-9.157550656918279,-8.991105964998434,-8.992077450492577,,-5.539634120009472,-9.44025467120972,-0.9935587143815261,-0.9935587143815261
