,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-3.0,-0.6181829345961777,7.288048445436787,0.15379547747244787
1,-1.5555555555555556,-0.6181829345961777,6.584321914611694,0.058206556803602774
2,-0.11111111111111116,-0.6181829345961777,5.892152716579168,-0.03258582446756369
3,1.333333333333333,-0.6181829345961777,5.208116156591536,-0.1441942810063154
4,2.7777777777777777,-0.6181829345961777,4.542490729220167,-0.1889650799297239
5,4.222222222222222,-0.6181829345961777,3.9090240469316457,-0.21600936519139552
6,5.666666666666666,-0.6181829345961777,3.2706798516615168,-0.25803215819007286
7,7.111111111111111,-0.6181829345961777,2.711165009863769,-0.27664758127222644
8,8.555555555555555,-0.6181829345961777,2.161406254718551,-0.3387065134642698
9,10.0,-0.6181829345961777,1.6599307519178845,-0.3335837616805024
