,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-14.070505125091605,12.873149340744558,6.725327108916509
1,-20.0,-14.070505125091605,10.367755328303696,4.230506136619138
2,-15.0,-14.070505125091605,7.873895622032729,1.7844781298576424
3,-10.0,-14.070505125091605,5.370544124812423,-0.6364064780757682
4,-5.0,-14.070505125091605,2.856139160519899,-2.9296401392972427
5,0.0,-14.070505125091605,0.3824087117087833,-5.024658257340427
6,5.0,-14.070505125091605,-2.1107737884382747,-6.930279008603791
7,10.0,-14.070505125091605,-4.567942845504368,-8.76528109627172
8,15.0,-14.070505125091605,-6.928025924154159,-10.272899633995838
9,20.0,-14.070505125091605,-9.095649329987195,-11.319023548870227
