,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-1.4078834440787777,14.225695947708115,14.2205714168573
1,-20.0,-1.4078834440787777,11.718562446624759,11.720629893422544
2,-15.0,-1.4078834440787777,9.233554694985171,9.236857167584603
3,-10.0,-1.4078834440787777,6.767904804202701,6.7643892665897765
4,-5.0,-1.4078834440787777,4.377953747297191,4.373405445494198
5,0.0,-1.4078834440787777,2.1773294544525896,2.1848444154115643
6,5.0,-1.4078834440787777,0.4386292268072514,0.43101205657631475
7,10.0,-1.4078834440787777,-0.6641138987962024,-0.6507638229732335
8,15.0,-1.4078834440787777,-1.1500739265984246,-1.1537053124228343
9,20.0,-1.4078834440787777,-1.3275095672810446,-1.3308391256793883
